0	30
552	99
1109	27
967	80
622	13
71	138
69	124
38	110
195	97
610	21
71	4
1001	88
70	50
770	68
71	325
73	144
55	53
78	19
112	100
1162	10
71	6
1932	385
64	20
651	135
60	23
1976	72
62	23
216	91
1696	156
538	379
62	227
1315	92
1108	132
62	8
1060	159
63	57
2140	260
63	20
1200	127
64	22
1240	110
79	61
1035	43
4112	8
69	127
18	131
77	91
33	132
1242	320
1181	121
64	15
1094	47
29	57
1523	157
305	68
1293	79
68	98
1044	86
2286	285
76	27
1084	83
1202	185
2146	358
1108	27
2361	277
68	43
18	12
1115	180
1200	87
1163	135
66	86
17	24
1041	59
29	54
17	35
1167	3
60	13
2058	360
2387	207
68	72
2233	219
66	6
18	31
1040	109
29	8
17	19
33	2
1245	132
745	8
553	68
813	58
2081	179
61	190
63	29
165	43
4238	628
1186	125
1131	110
2121	278
1199	125
66	66
1139	114
76	16
1132	80
2310	258
67	35
1107	132
64	60
1056	60
40	69
23	5
17	7
1061	189
1237	51
66	22
24	9
2206	254
60	35
1072	145
77	35
1390	3
1312	28
345	36
177	97
1260	17
370	83
591	177
1614	57
414	6
53	147
783	34
1907	18
577	110
57	98
1479	35
1262	16
1208	148
67	57
1278	102
267	2
35	111
2109	35
2475	279
3409	3
3663	120
54	124
588	333
54	40
140	94
543	313
769	31
342	402
30	7
64	102
437	152
545	33
856	98
1277	118
1056	131
53	14
1980	22
167	164
984	340
24	49
2035	260
2206	231
1140	139
1195	91
60	20
1059	122
68	5
1146	168
60	10
1154	191
2188	254
1193	111
2197	324
1120	186
1108	103
67	55
2174	166
1192	155
1115	147
31	57
2167	196
40	15
23	14
18	1
17	68
2087	277
265	12
883	89
1073	179
1213	33
90	6
1109	170
55	54
11	33
1059	78
22	34
11	1
4329	473
1123	241
1102	93
22	43
1070	91
1105	87
4203	632
1133	43
55	67
1130	88
29	19
17	12
1090	99
32	8
12	40
9	68
13	6
1065	12
22	47
11	39
9	39
2270	150
49	30
2248	298
1192	142
56	5
11	24
16	69
1063	26
1199	130
56	56
11	86
1136	69
1099	193
1622	81
65	83
19	22
40	31
3291	420
1183	90
1142	163
50	7
3237	320
59	100
11	5
1067	116
34	55
1060	67
1182	126
55	39
17	37
2180	187
50	50
23	14
2235	196
103	59
1033	122
1080	128
56	75
4205	443
1165	149
55	98
1142	33
47	56
8	30
1067	55
47	10
9	93
1093	82
42	79
3150	340
1166	112
42	53
1152	60
2302	308
1127	217
3279	325
48	24
8	29
7	14
6	49
1074	114
1109	74
2114	357
1113	79
1106	130
3212	393
21	24
8	28
1181	113
2306	241
48	31
8	18
1067	125
1084	226
1080	31
16	17
1111	175
1112	69
1114	220
1187	59
48	74
8	20
1096	45
42	54
8	56
1121	125
56	44
1093	4
41	5
8	3
7	17
6	51
1141	173
2272	211
2220	263
41	26
8	19
11	66
1056	151
2278	190
57	24
1137	172
37	36
1154	24
38	39
7	20
2293	245
39	115
1172	22
51	41
1127	112
42	99
1076	93
1142	187
2238	204
37	40
7	48
1098	137
1118	76
3200	379
20	6
7	52
5	21
5	26
5	10
2177	268
1189	56
1194	204
42	15
1165	89
37	36
1113	93
20	28
6	9
1158	107
43	26
7	59
1141	46
44	11
7	69
1093	110
1193	90
2324	324
46	69
1065	116
1075	142
1078	98
1118	154
1111	201
5182	656
1120	39
1183	162
1107	112
16	115
1103	20
16	44
4327	523
43	94
1094	29
42	113
1047	13
63	19
2086	319
1091	115
50	32
29	28
9	15
981	44
22	35
1065	93
1076	118
22	29
1044	119
2148	278
11	48
1069	162
11	4
1074	36
11	39
1069	151
1077	91
1088	108
11	113
4	17
1063	55
2061	299
1060	77
11	43
2053	277
11	24
1051	86
1059	65
11	63
1053	96
11	13
1051	200
1060	33
11	58
1052	92
11	84
3106	333
11	43
1052	159
3060	344
10	24
4	11
1051	36
18	48
3099	330
11	74
1052	101
1059	88
11	23
1052	112
10	30
4	10
3291	376
29	105
1155	44
1145	164
24	18
4	59
1111	97
23	11
1089	101
10	49
2184	185
11	29
1111	164
2190	265
23	12
1160	84
29	41
2258	267
1183	123
29	21
4	1
1109	134
23	46
4	56
4	18
1075	52
10	37
1177	73
30	63
1164	153
1181	127
28	76
2300	154
1178	153
29	16
4	34
4	49
1070	83
10	29
1082	170
1183	86
35	73
4	18
1106	16
1096	209
1173	64
29	69
4	52
1153	98
28	7
6216	703
23	82
9	30
1147	118
1128	67
4182	594
28	56
1151	38
29	96
1133	24
1204	200
2194	357
1180	114
35	22
1148	55
28	21
1153	115
28	3
4	66
4	10
1147	50
25	67
1157	94
29	85
1110	99
27	73
1157	56
29	86
4	3
1153	30
1177	243
2282	219
29	24
4	9
4	12
4	20
1154	60
1136	181
23	39
1114	158
2273	192
2185	381
29	9
1062	16
11	108
2264	209
1181	123
4324	523
35	123
1149	66
30	22
4	35
4	10
2286	178
1135	244
1177	65
28	22
4	41
1151	140
1175	151
1172	69
24	49
4	43
4	43
1124	40
28	77
9	10
4	23
1061	49
1099	103
10	98
1177	44
87	50
6	57
1037	62
24	29
4	15
4	6
1091	153
1125	63
23	1
1090	168
28	30
2173	242
10	11
4	4
4	36
2099	245
11	22
1109	62
1098	151
10	78
2188	185
10	92
1099	21
10	74
1110	183
3266	298
25	19
4	35
2091	329
2192	177
11	40
4	18
3	11
1176	171
4274	451
29	17
4	16
1151	123
29	27
4	2
4	13
4	4
1088	122
23	16
4	45
1078	22
11	31
4	46
3	2
1178	51
1176	169
30	49
1153	102
29	31
4	51
1153	68
1133	130
23	107
4306	432
1176	263
29	8
1154	121
1177	123
29	6
2150	282
1179	126
29	34
1153	75
35	20
4	69
1144	150
29	1
1153	63
35	63
1147	60
2331	266
29	18
1151	158
1177	202
40	36
5	29
1136	14
1181	139
1174	196
1124	114
29	47
5	4
4	7
2152	291
29	37
1153	76
29	6
4	77
1150	16
824	13
23	10
129	100
45	14
3111	389
186	10
333	174
2469	195
28	106
2162	181
11	88
1125	39
2205	268
11	18
1101	134
10	95
1103	19
10	12
1102	125
14	60
4	1
1105	177
1175	122
1175	98
29	90
1065	71
12	29
1171	80
1116	206
1123	158
26	2
4	2
3360	58
560	16
763	102
752	235
136	265
1210	151
23	34
1868	133
30	78
93	20
787	132
812	20
1237	181
1220	23
23	34
102	80
121	62
46	6
1174	80
3408	525
1146	66
1177	155
29	50
4	10
1554	223
1134	47
2132	335
24	20
1080	44
10	45
1126	141
26	4
14	7
1089	82
1106	135
1106	146
1096	124
11	17
4	86
1111	84
1167	128
25	17
4	32
4203	507
3275	351
1169	148
24	99
2190	170
1100	191
13	38
7	31
1257	170
1117	119
1178	30
25	123
2079	222
10	33
1075	35
11	10
4	101
4	15
